ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
16;PROTUR;PROTEINURIA AMOSTRA ISOLADA;01 dia útil;Proteínas na urina amostra isolada, Proteinúria amostra isolada, Proteína na urina amostra isolada;COLETA904, VOLUME477;Urina amostra isolada;Colorimétrico - Vermelho de Pirogalol;"- (PROTUR)COLETA:Urina (amostra isolada).
Após assepsia, coletar urina jato médio.
As amostras devem ser coletadas em tubo cônico ou frasco coletor universal sem nenhum conservante.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Cliente menstruada que não colheu material com tampão vaginal.- (PROTUR)VOLUME MÍNIMO:
5,0 mL.
 ";"- (PROTUR)ENCAMINHAMENTO:
Refrigerada (2°C-8°C).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 3 dias.
Congelada (-20°C): 30 dias.
";Proteinúria é um marcador de doença renal e constitui um fator de risco independente para a sua progressão. Aumentos ou decréscimos no valor de proteinúria são importantes marcadores do prognóstico renal do paciente. Dessa forma, em pacientes com doença renal a pesquisa de proteinúria constitui um elemento importante no diagnóstico e no acompanhamento. Na ausência de doença renal.  proteinúria pode ocorrer após exercícios físicos vigorosos antes da coleta. A proteinúria ortostática geralmente não indica patologia renal subjacente significativa não estando associada a outras anormalidades urinárias, como hipoalbuminemia, hematúria, cilindros de glóbulos vermelhos, cilindros gordurosos etc. A proteinúria ortostática geralmente se resolve com o tempo.;;"- (PROTUR)PACIENTE:Quando da solicitação conjunta de US, cujo preparo prévio determine ingestão hídrica, chegar com pelo menos duas horas de antecedencia, realizar primeiro o exame de urina e depois o preparo para US.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
17;NUR;SODIO NA URINA - AMOSTRA ISOLADA;01 dia útil;;Volume5;Urina amostra isolada;Eletrodo ion-seletivo;"- (NUR)VOLUME MÍNIMO:5 mL. ";;;;;"
Urina isolada";"
Realizamos em amostra de urina isolada.

Não fazer uso de creme/óvulo vaginal
nas 24 horas que antecedem o exame.

Retirar frasco no laboratório ou adquirir
em farmacias (frasco coletor universal).

Estar a 2 horas sem urinar (com 2 horas
de retenção urinária). 

Coleta isolada: amostra de urina isolada
ou de uma micção.";"
Urina isolada

Coleta isolada: amostra de urina isolada
ou de uma micção.";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem: refrigerado (2ºC a 8ºC)

AFIP"
18;ALDO;ALDOLASE;02 dias úteis;Aldolase frutose bifosfato, Aldolasemia, Frutose-Bifosfato Aldolase;COLETA9, Volume1;Soro;Enzimático;"- (ALDO)COLETA:Punção venosa (sistema vácuo) em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).Importante: material colhido fora deve ser transportado refrigerado e recebido em até 72 horas após a coleta. REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (ALDO)VOLUME MÍNIMO:1 mL. ";- (ALDO)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;"Essa enzima é utilizada na avaliação dos quadros de fraqueza muscular.Níveis elevados são encontrados nas fases iniciais das doenças musculares como distrofia muscular e dermato polimiosite. Níveis elevados também podem ser encontrados em doenças hepáticas, na pancreatite, no infarto do miocárdio e em neoplasias. Valores baixos podem ser encontrados nas fases avançadas das miopatias.";;- (ALDO)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
19;URUR;UREIA, URINA ISOLADA;01 dia útil;;Volume5;Urina amostra isolada;Urease;"- (URUR)VOLUME MÍNIMO:5 mL. ";;;;;"
Urina isolada";"Instruções de jejum:
Jejum não obrigatório ou conforme orientações do 
profissional solicitante.";"Instruções de paciente:
Exame realizado preferêncialmente no
laboratório, em amostra de urina isolada.
Não utilizar creme vaginal, nas 24 horas
que precedem o exame. 
Estar a 2 horas sem urinar ou com 2 horas
de retenção urinária. 
Coleta isolada: amostra de urina isolada
ou de uma micção.";"Instruções de coleta:
Urina amostra isolada

"
21;URISOL;ACIDO URICO, URINA ISOLADA;01 dia útil;Uricosúria amostra isolada,  Dosagem de ácido úrico na urina isolada,  Ácido úrico urina,  Ácido úrico urinário;Volume5;Urina amostra isolada;Colorimétrico - Jaffe / Enzimático - Uricase;"- (URISOL)VOLUME MÍNIMO:5 mL. ";;;;;"
Urina isolada";"Instruções de jejum:
Jejum não obrigatório ou conforme orientações do 
profissional solicitante.
___________________________________________

Realizamos em amostra de urina isolada.
Não fazer uso de creme tópico/óvulo vaginal, nas 
24 horas que antecedem o exame.
Não estar menstruada (sexo fem).

Coleta isolada: amostra de urina isolada ou de 
uma micção.";"
Urina isolada

**ATENCAO: cadastro somente para amostra de 
urina isolada**
";"
Acondicionamento:
Transporte: caixa térmica com gelox (13ºC a 22ºC)
Após triagem e separação: refrigerado (2ºC a 8ºC)

AFIP"
22;GASAR;GASOMETRIA ARTERIAL;.5 hora;Equilibrio ácido-básico- gasometria arterial, Gases sangue arterial, Gaso Arterial;COLETA49;Sangue total;Oximetria;- (GASAR)COLETA:Coleta: seringa heparinizada (Obs: evitar bolhas de ar na seringa - interferente). Este exame deve ser realizado preferencialmente logo após a coleta (realizado na unidade). Em casos onde seja necessário o transporte (realizado em outra unidade), manter a amostra refrigerada (gelox), visando sempre urgência no tempo entre a coleta e a realização do exame. REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (GASAR)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não aceitável.Refrigerada (2°C-8°C): 1 hora.Congelada (-20°C): não aceitável.;;- (GASAR)INTERFERENTE(S):Bolhas de ar ambiente dentro da seringa.;- (GASAR)PACIENTE:Não se aplica.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;"
Sangue total";"Instruções de jejum:
Jejum não obrigatório ou conforme orientações do 
profissional solicitante.

 ** somente agendado
Agenda: de 2ª a 6ª feira.";"
Sangue total heparinizado

Coleta: seringa heparinizada (Obs: evitar bolhas 
de ar na seringa - interferente).

Este exame deve ser realizado de preferência
após a coleta, se houver necessidade
de transporte deste, faze-lo sob refrigeração
(gelox), visando sempre urgência no tempo
entre a coleta e a realização do exame.

 **Realizado apenas na Unidade CDB Marselhesa
 Exame agendado as segundas, quartas e sextas
 feiras nos horarios 11:00 / 11:30 /12:00.
 NÃO e necessario jejum
 Exame realizado somente pelo profissional medico,
 biomedico e enfermeiro.
 Procedimento consultar o manual de coleta,
 pagina 51 e 52.";"
Acondicionamento: refrigerado (2ºC a 8ºC)
 

 **Unidade CDB Marselhesa
 Encaminhar material ao setor tecnico em caixa
 termica imediatamente apos a coleta.
 NÃO deixar a seringa diretamente no gelox.
 Estabilidade da amostra em temperatura
 ambiente no maximo por 15 minutos e
 30 minutos se refrigerada.

AFIP"
23;ELEUR;ELETROFORESE DE PROTEINA;03 dias úteis;"Proteinograma;, EFP; , Frações das Globulinas;";COLETA1, Volume2;Soro;Colorimétrico - Biureto;"- (ELEP)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ELEP)VOLUME MÍNIMO:2 mL. ";"- (ELEP)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: Não se aplica.
Refrigerada (2-8 ºC): 5 dias.
Congelada (-20 ºC): 6 meses.

";A eletroforese de proteínas é útil para uma avaliação global das proteínas séricas, permitindo serem caracterizadas as disproteinemias como a hipoalbuminemia, as hipogamaglobulinemias e as hipergamaglobulinemias. Hipoalbuminemia é observada, por exemplo, na síndrome nefrótica, na cirrose hepática, nas doenças intestinais perdedoras de proteínas e nos processos inflamatórios crônicos. Hipogamaglobulinemias ocorrem em algumas doenças congênitas, por exemplo. As hipergamaglobulinemias são vistas nos processos inflamatórios ou infecciosos crônicos, na cirrose hepática, em algumas doenças auto imunoe, dentre outras.;- (ELEP)INTERFERENTE(S):Hemólise e lipemia intensas.;- (ELEP)PACIENTE:A coleta deve ser feita preferencialmente pela manhã.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum ou conforme orientação do profissional solicitante.;;;;
24;AMINU;AMINOACIDOS NA URINA - QUANTITATIVO;10 dias úteis;;COLETA39, VOLUME54;Urina amostra isolada;;"- (AMINU)COLETA:Amostra de urina isolada ou de uma micção.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (AMINU)VOLUME MÍNIMO:
10 mL (Adulto).
5 mL (recém nascido até 6 meses).

";"- (AMINU)ENCAMINHAMENTO:
Congelada -20°C (caixa térmica com gelo seco).

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): 6 meses.
";"A dosagem de aminoácidos na urina é usada para triagem de doenças metabólicas incluindo as determinadas por herança genética.
Estas doenças estão, muitas vezes, associadas com problemas mentais, degeneração do sistema nervoso e incapacidade de desenvolvimento";;"- (AMINU)PACIENTE:
- Alguns medicamentos podem interferir na realização do exame tais como: acido ascórbico, aspartame, aspirina, bactrim e associados, contraceptivos orais, glicose, indometacina, progesterona, testosterona e valproato. Avaliar com o medico solicitante a suspensão do uso da medicação.
- Colher, preferencialmente, a primeira urina da manha ou com intervalo mínimo de 04 horas após a ultima micção.
- O material deve ser colhido preferencialmente no laboratório.
- Lavar as mãos com agua e sabão.
- Fazer higiene da genitália com agua e sabão, secar, desprezar o 1º jato de urina, coletar o jato médio em frasco próprio.
Obrigatório o preenchimento do questionário Erros Inatos no Metabolismo – FRCOL125.

JEJUM:
Jejum não obrigatório ou conforme orientações do profissional solicitante.

";;;;
25;CISOL;CISTINA/CREATININA;15 dias úteis;"Cistinuria;, Cis. L-cistina;, Ácido ß-dissulfo di-[α-aminopropiônico].";COLETA127, VOLUME63;Urina;Espectrometria de Absorção Molecular;"- (CISOL)COLETA:Urina isolada, pré-jornada ou pós-jornada de trabalho, conforme solicitação médica.
Coletar em frasco universal não esteril (tampa branca e/ou transparente).
Higienizar a região genital e colher, preferencialmente, a primeira urina da manhã ou com intervalo mínimo de 04 horas após a última micção.
Desprezar o primeiro jato de urina, e sem interromper a micção, coletar o segundo jato.
REJEIÇÃO DE AMOSTRA:Amostras recebidas em frasco cônico e/ou frasco de tampa colorida (ex: vermelho, azul e/ou amarelo).
Amostra com hematúria.
Amostra ictérica.
E contaminadas com material fecal.
- (CISOL)VOLUME MÍNIMO:
10 mL.
";"- (CISOL)ENCAMINHAMENTO:Congelada -20°C (caixa térmica com gelo seco).
ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): 7 dias.
";Exame utilizado na propedêutica da litíase urinária. Em altas concentrações, a cistina é insolúvel na urina, levando à formação de cálculos de repetição.;;- (CISOL)PACIENTE:Exame realizado em amostra de urina isolada, pré ou pós-jornada de trabalho ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso. JEJUM:                                                                                                                                                                                                                                                                                                                                     Nao se aplica.;;;;
26;BARB;BARBITURATOS;02 dias úteis;Barbitúricos,  pesquisa na urina;COLETA309, Volume8;Urina amostra isolada;Imunocromatografia;"- (BARB)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (BARB)VOLUME MÍNIMO:

10 mL.
";"- (BARB)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 2 dias.
Congelada (-20°C): 30 dias.
";O teste é útil para detectar a presença de barbitúricos de ação curta (pentobarbital e secobarbital) e de ação longa (fenobarbital) na urina.;- (BARB)INTERFERENTE(S):Ingestão excessiva de água.;"- (BARB)PACIENTE:Exame realizado em amostra de urina isolada ou conforme solicitação médica. A urina poderá ser coletada em qualquer momento do dia.
Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.
Informar medicação em uso.
O paciente ou responsável deverá assinar termo de consentimento na recepção do laboratório:
FRCOL285-AUTORIZACAO DE REALIZACAO DE EXAMES DE DROGAS DE ABUSO.JEJUM:Não se aplica.
";;;;
27;;PAPANICOLAU [UBS];  7 dias úteis;"Papanicolaou - citologia; , Citologia cervicovaginal em lâminas, Citologia oncótica em lâminas, Citologia oncótica em esfregaço de lâminas; , Citopatológico de esfregaço de colo uterino em lâminas, Citologia cérvico-vaginal em lâminas";COLETA84;Esfregaço cervico-vaginal convencional;Coloração de Papanicolaou;- (PAPA)COLETA:Raspado cervico-vaginal ou colo uterino.1º - identificar corretamente a lâmina com as iniciais da paciente. Preconiza-se uma coleta ectocervical, próximo a parte de identificação (lado fosco), e outra endocervical na extremidade da mesma lâmina.2º - com espátula de Ayre, fazendo um giro de 360º, coletar amostra de raspado cervico-vaginal ou colo uterino.3º - com a escovinha (Citobrush), em movimento giratório e suave, coletar secreção endocervical.4º - fixar o esfregaço imediatamente após a coleta.REJEIÇÃO DE AMOSTRA:Material não identificado.Iniciais da lâmina não conferem com requisição.Lâmina danificada.Frasco vazio.;- (PAPA)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 30 dias (com fixador)Refrigerada (2°C-8°C): não se aplicaCongelada (-20°C): não se aplica.;O exame colpocitológico, mais conhecido com Papanicolau, é o teste realizado para detectar alterações nas células do colo do útero. Além de servir para a detecção de lesões precursoras do câncer do colo do útero e da infecção pelo vírus HPV, a colpocitologia oncótica pode indicar se a paciente tem alguma outra infecção que precisa ser tratada.;- (PAPA)INTERFERENTE(S):Lâmina com baixa celularidade ou com excesso de secreção purulenta ou sangüínea.Falta de fixação imediata com ressecamento do material.;;;;;
28;VARIG;HERPES ZOSTER IGG (VARICELA);03 dias úteis;"Catapora,  IgG; Varicela Zoster IgG;, Vírus da Varicela Zoster Anticorpo IgG";COLETA1, Volume1;Soro;Imunoensaio Quimioluminescente (CLIA);"- (VARIG)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (VARIG)VOLUME MÍNIMO:1 mL. ";- (VARIG)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 7 dias.Congelada (-20°C): 30 dias.;Exame útil no diagnóstico das infecções causadas pelo Varicella-Zoster Vírus (VZV). Esse vírus provoca duas doenças distintas: a varicela (catapora) ou o herpes zoster (zona, cobreiro). O aumento significativo do IgG entre duas amostras pareadas coletadas no período de 10 dias e com presença de IgM, sugere infecção recente.;;- (VARIG)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
29;BCR;BCR/ABL-REARRANJO, QUANTIFICACAO(P190/P210);06 dias úteis;PCR Rearranjo BCR-ABL., BCR-ABL,  Rearranjo,  por PCR Quantitativo Cromossomo Filadelfia por PCR,  quantitativo p190,  quantificação p210,  quantificação., Quantificação de Gene BCR-ABL Rearranjo BCR-ABL., Quantitativo Rearranjo BCR/ABL dos tipos e1a2 / e13a2 (b2a2) / e14a2 (b3a2) Translocação do cromossomo 9, 22 Quantitativo, Leucemias, Translocação do cromossomo 9:22 quantitativo p190, BCR-ABL1 tipo P190, Pesquisa de rearranjo BCR-ABL1 quantitativo, Pesquisa quantitativa do cromossomo Filadelfia, Quantificação do transcrito P190 | Leucemias, Translocação do cromossomo 9:22 quantitativo p210, BCR-ABL1 tipo P210, Cromossomo Filadélfia quantitativo;COLETA699;Sangue periférico ou Medula óssea com EDTA;;"- (BCR)COLETA:Coleta Sangue Periférico:
Realizar coleta utilizando material e tubo de coleta recomendado para o exame, homogeneizar e acondicionar corretamente. É imprescindível o envio de 4 tubos em EDTA 6mL (tampa roxa) de sangue periférico.
Solicitar insumo com antecedência.

Coleta Medula Óssea:
Amostra coletada através de procedimento médico por aspiração de medula óssea. Realizar coleta utilizando material e tubo de coleta recomendado para o exame, homogeneizar e acondicionar corretamente. É imprescindível o envio de 1 tubo EDTA, 4mL (tampa roxa) de aspirado de medula óssea.
Importante: em casos de Leucemia Linfocítica Aguda, aceita-se preferencialmente aspirado de medula óssea.
Materiais enviados com agulha de punção serão rejeitados.
REJEIÇÃO DE AMOSTRA:
Amostras recebidas diferente das condições solicitadas;

Amostras heparinizadas ou enviadas em tubo de tampa verde serão rejeitadas, pois a heparina interfere na análise por PCR;

Amostras fora da estabilidade e em temperatura inadequada degradam e com isso diminui a sensibilidade de quantificação do material genético (RNA), interferindo diretamente no resultado obtido;

Volume insuficiente, sendo necessário o envio de 1 tubo de 4 mL de medula óssea ou  4 tubos de 6 mL cada de sangue periférico, uma vez que a quantificação está relacionada com total nos leucócitos, qualquer volume inferior ao preconizado interfere no resultado final;

Tubos de coleta com rachaduras, tampas quebradas ou qualquer outro tipo de avaria que possa contaminar a amostra não serão aceitos, sendo pedido a recoleta.

";"- (BCR)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.
Acondicionar o material nos flyers/bags disponibilizados pelo Laboratório.
ESTABILIDADE:Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 36 horas.
Congelada (-20°C): não se aplica.
";"O cromossomo Philadelfia é uma anormalidade cromossômica resultando em uma translocação recíproca entre o gene ABL (cromossomo 9) e o gene BCR (cromossomo 22), formando o gene quimérico BCR-ABL. A proteína resultante dessa fusão pode ter vários tamanhos de acordo com seu ponto de quebra: isoforma 210kDA ou isoforma 190kDa.
O cromossomo Philadelfia é encontrado em mais de 90% dos casos de leucemia mieloide crônica (LMC); 25-30% nos adultos e de 2-10% das crianças com leucemia linfoide aguda (LLA); e ocasionalmente está relacionada a leucemia mieloide aguda (LMA).
Este estudo é indicado principalmente no diagnóstico da LMC e LLA. | Este exame quantifica o transcrito do produto de fusão de parte do oncogene ABL com o gene BCR, proveniente da translocação entre os cromossomos 9 e 22 (cromossomo Filadélfia - Ph). Esta fusão, denominada translocação BCR/ABL, dá origem a duas isoformas que codificam as proteínas p210 e p190, geralmente detectadas em tipos distintos de leucemias Ph positivas. Neste exame é realizada apenas a quantificação do transcrito p210, característico da Leucemia Mieloide Crônica (LMC), mas pode também ser encontrado em Leucemia Linfoide Aguda (LLA) em menor porcentagem.

TUSS: 40503542 CID10: C92.1

Metodologia utilizada: PCR em tempo real.";;"- (BCR)PACIENTE:Este exame é realizado somente com solicitação médica (anexar cópia). Preenchimento obrigatório do questionário FRCOL178: Questionário para o exame BCR-ABL preenchido corretamente.

*Enviar cópia do último hemograma do paciente.

*Atenção:
- Coleta de segunda a sexta-feira até as 11:30 horas.

- NÃO coletar amostra aos Sábados, Domingos e véspera de feriados.
JEJUM:Não é necessário jejum para este exame.";;;;
30;ALFTR;ALFA ANTITRIPSINA;02 dias úteis;alfa-1 AT., α-1 Antitripsina.;COLETA1, Volume1;Soro;Nefelometria;"- (ALFTR)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ALFTR)VOLUME MÍNIMO:1 mL. ";"- (ALFTR)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.
";"AUMENTO: gravidez, anticoncepcionais orais, fase aguda das S. infecciosas ou inflamatórias, câncer do fígado ou do pâncreas, asma alérgica e após vacina TAB.DIMINUIÇÃO: deficiência congênita de α-1 antitripsina, enfisema pulmonar crônico em adultos, cirrose hepática em crianças e fibrose cística.";;- (ALFTR)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
31;GIAR;GIARDIA LAMBLIA - PESQUISA  DE ANTIGENO (FEZES);04 dias úteis;;Volume13;Fezes;Imunocromatografia;"- (GIAR)VOLUME MÍNIMO:3 g. ";;;;;"
Fezes";"Instruções de jejum:
Não há.";"Instruções de paciente:
Não deve fazer o uso de laxantes.
O frasco coletor universal sem conservante pode ser retirado no laboratório ou adquirido em farmácia.
Adulto: realizar a coleta com espátula em três ou mais partes do bolo fecal em frasco universal sem conservante.
Coleta de crianças e bebes: realizar a coleta da fralda e colocar em pote universal sem conservante.
O material deve ser entregue em atΘ 12 horas após a coleta.
___________________________________________

Fezes recém emitidas (atΘ 12 horas da coleta) em frasco universal sem conservante.";"
Acondicionamento: refrigerado
Transporte: caixa térmica com gelox (13║C a 22║C)
Após triagem: refrigerado (2║C a 8║C)

AFIP"
32;CITO;CITOLOGIA;04 dias úteis;Citologia oncótica, Pesquisa de células neoplásicas;COLETA81;Diversos materiais;Coloração de Papanicolaou;- (CITO)COLETA:Escarro: preferencialmente pela manhã, em jejum, após higiene bucal, coletar expectoração profunda.Urina: não coletar a primeira da manhã.Líquidos cavitários (procedimento médico): todo líquido colhido deverá ser fixado em álcool absoluto na mesma proporção da amostra coletada. Deverá ser colocado em frasco seco e estéril.Secreções de modo geral (procedimento médico): deverão ser colhidas com swab e imediatamente ser realizados esfregacos em lâminas. Estas fixadas em álcool absoluto ou fixador de cobertura (Carbovax).REJEIÇÃO DE AMOSTRA:Material não identificado.Iniciais da lâmina não conferem com requisição.Lâmina danificada.Frasco vazio.;"- (CITO)ENCAMINHAMENTO:
Temperatura ambiente: Lâmina com esfregaço previamente fixado.Materiais líquidos em álcool absoluto.
Refrigerada (2°C-8°C): Urinas, líquor e escarro.
ESTABILIDADE:
Lâmina com esfregaço previamente fixado:
Temperatura ambiente: 30 dias.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.
Materiais líquidos em álcool absoluto:
Temperatura ambiente: 10 dias.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.
Urinas, líquor e escarro:
Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): 4 dias.
Congelada (-20°C): não se aplica.
";Exame tem como finalidade a pesquisa de células neoplásicas.;- (CITO)INTERFERENTE(S):Falta de fixação imediata da lamina ou do material com ressecamento do material.;- (CITO)PACIENTE:Escarro: preferencialmente pela manhã, em jejum, após higiene bucal, coletar expectoração profunda.Urina: não coletar a primeira da manhã.Liquidos cavitários, líquor, lavado gástrico, lavado bronco-alveolar (procedimento médico).JEJUM:Não se aplica.;;;;
33;ALFAF;ALFA-FETOPROTEINA;01 dia corrido;Marcador tumoral, Alfafetoproteína,  Alfa fetoproteína, AFP;COLETA1, Volume1;Soro;Quimioluminescência;"- (ALFAF)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ALFAF)VOLUME MÍNIMO:1 mL. ";- (ALFAF)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Alfa fetoproteína é um marcador tumoral relacionado a tumores hepáticos e testiculares. Sua medida é útil no seguimento destes pacientes e detecção de precoce de recorrência do tumor. Pode, também ser utilizado em gestantes como indicador de possível anomalia de tubo neural, quando se apresenta com valores elevados e em casos de trissomias, quando são vistos valores baixo. Para esta finalidade, a coleta de sangue deve ser realizada entre a 15ª e 21ª semanas de gestação.;;- (ALFAF)PACIENTE:As gestantes devem informar o mês de gestação. O exame deve ser realizado preferencialmente entre a 15ª e 21ª semanas de gestação.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum ou conforme orientação do profissional solicitante.;;;;
